title,genres
Manhattan Melodrama,Crime|Drama|Romance
Werewolf Woman (La lupa mannara),Horror
"Ninja, A Band of Assassins (Shinobi No Mono)",Action|Drama
Angst,Drama|Horror
Ninja Cheerleaders,Action|Comedy
Justice League: Throne of Atlantis,Action|Animation
"Descent, The",Adventure|Drama|Horror|Thriller
Firecreek,Western
Mustasukkaisuus,Drama|Romance
Skin,Drama|Mystery
The Boy Next Door,Thriller
Dumb and Dumberer: When Harry Met Lloyd,Comedy
"Slumber Party Massacre, The",Horror
"Devil's Eye, The (Djävulens öga)",Comedy|Drama|Fantasy
The Haunting of Helena,Horror|Thriller
Paul,Adventure|Comedy|Sci-Fi
Dimensions of Dialogue (Moznosti dialogu),Animation|Comedy|Fantasy
"Soul of a Man, The",Documentary|Musical
Kabei: Our Mother (Kâbê),Drama
Sleepover,Comedy
Urban Legends: Final Cut,Horror
Fiston,Comedy
"Twilight Saga: Breaking Dawn - Part 2, The",Adventure|Drama|Fantasy|Romance|IMAX
Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi
Bronson,Action|Comedy|Drama|Thriller
Enon opetukset,Comedy|Drama
"Law of Desire (Ley del deseo, La)",Comedy|Drama|Romance
"Woman in the Window, The",Crime|Film-Noir|Thriller
Hardcore,Drama
Lisbela e o Prisioneiro (Lisbela and the Prisoner),Comedy|Romance
Midnight Movies: From the Margin to the Mainstream,Documentary
LOL,Comedy|Drama|Romance
Appointment in Tokyo,Documentary|War
30 Minutes or Less,Action|Comedy|Crime
Gappa: The Triphibian Monsters (AKA Monster from a Prehistoric Planet) (Daikyojû Gappa),Sci-Fi
Is Paris Burning? (Paris brûle-t-il?),Drama|War
Soccer Days,Comedy
Tron,Action|Adventure|Sci-Fi
Thunderpants,Children|Comedy|Sci-Fi
Reckless,Comedy|Fantasy
Loverboy,Comedy
Tusk,Comedy|Drama|Horror
Cold Around the Heart,Crime|Drama|Thriller
Being Human,Drama
Barbed Wire,Action|Comedy|Western
West Is West,Comedy|Drama
Beyond the Poseidon Adventure,Adventure
That Darn Cat!,Children|Comedy|Mystery
Ruby & Quentin (Tais-toi!),Comedy|Crime
The Wild Bunch: An Album in Montage,Documentary
Zouzou,Comedy
"Pornographers, The (Erogotoshi-tachi yori: Jinruigaku nyûmon)",Comedy|Drama
"Fever in the Blood, A",Drama
"Thorn in the Heart, The",Documentary
Gotti,Crime|Drama
"Scarlet Clue, The (Charlie Chan in the Scarlet Clue)",Comedy|Crime|Mystery
